web_scraper_order,web_scraper_start_url,pagination,data,data2,data3,data4,data5,data6,data7,data8,data9,data10,data11,image
"1777056365-161","https://www.booking.com/searchresults.html?label=bristol-XLwodozx2dVe8Ts0XeYuawS752260715469%3Apl%3Ata%3Ap1%3Ap2%3Aac%3Aap%3Aneg%3Afi%3Atikwd-869815001187%3Alp1009919%3Ali%3Adec%3Adm%3Appccp%3DUmFuZG9tSVYkc2RlIyh9YXdX6HrtnYy-Ml68sH-ljtU&aid=311984&dest_id=198&dest_type=country&group_adults=2&req_adults=2&no_rooms=1&broad_search_not_eligible=1&order=score&nflt=ht_id%3D204%3Bht_id%3D213%3Bht_id%3D216%3Bht_id%3D220%3Bht_id%3D221%3Btop_destinations%3D6012%3Buf%3D-2237624%3Buf%3D-2230854","","J7 Villaj Resort","Scored 7.6","7.6","","J7 Villaj Resort has an outdoor swimming pool, garden, a terrace and bar in Trincomalee. This 3-star hotel offers an ATM and a tour desk.","· 293 reviews","Opens in new window","Trincomalee","Show prices","Good","Show on map","https://cf.bstatic.com/xdata/images/hotel/square600/227566990.webp?k=587e6c3e8a4d5b8d02259c2233cc5170e96542334b9713f289dc86ffc10a48cb&o="
"1777056365-162","https://www.booking.com/searchresults.html?label=bristol-XLwodozx2dVe8Ts0XeYuawS752260715469%3Apl%3Ata%3Ap1%3Ap2%3Aac%3Aap%3Aneg%3Afi%3Atikwd-869815001187%3Alp1009919%3Ali%3Adec%3Adm%3Appccp%3DUmFuZG9tSVYkc2RlIyh9YXdX6HrtnYy-Ml68sH-ljtU&aid=311984&dest_id=198&dest_type=country&group_adults=2&req_adults=2&no_rooms=1&broad_search_not_eligible=1&order=score&nflt=ht_id%3D204%3Bht_id%3D213%3Bht_id%3D216%3Bht_id%3D220%3Bht_id%3D221%3Btop_destinations%3D6012%3Buf%3D-2237624%3Buf%3D-2230854","","SSS HOTEL","Scored 7.6","7.6","","Located in Trincomalee, within a 4-minute walk of Uppuveli beach and 1.1 miles of Trincomalee Railway Station, SSS HOTEL provides accommodations with a private beach area as well as free private...","· 86 reviews","Opens in new window","Trincomalee","Show prices","Good","Show on map","https://cf.bstatic.com/xdata/images/hotel/square600/661146973.webp?k=b054ba377b695b546e115d2de5b58ab022ccf1773bb507fb983875285edcb0a5&o="
"1777056365-163","https://www.booking.com/searchresults.html?label=bristol-XLwodozx2dVe8Ts0XeYuawS752260715469%3Apl%3Ata%3Ap1%3Ap2%3Aac%3Aap%3Aneg%3Afi%3Atikwd-869815001187%3Alp1009919%3Ali%3Adec%3Adm%3Appccp%3DUmFuZG9tSVYkc2RlIyh9YXdX6HrtnYy-Ml68sH-ljtU&aid=311984&dest_id=198&dest_type=country&group_adults=2&req_adults=2&no_rooms=1&broad_search_not_eligible=1&order=score&nflt=ht_id%3D204%3Bht_id%3D213%3Bht_id%3D216%3Bht_id%3D220%3Bht_id%3D221%3Btop_destinations%3D6012%3Buf%3D-2237624%3Buf%3D-2230854","","ROLEX GUEST HOUSE","Scored 7.6","7.6","Location 9.4","Located in Trincomalee, a 6-minute walk from Uppuveli beach, ROLEX GUEST HOUSE has accommodations with a garden, free private parking, a terrace and a restaurant.","· 43 reviews","Opens in new window","Trincomalee","Show prices","Good","Show on map","https://cf.bstatic.com/xdata/images/hotel/square600/542996189.webp?k=d7c9cf36929c9de3b6ef8855fd0354e9c9c1b14d67296100b0e964b7b3d145df&o="
"1777056365-164","https://www.booking.com/searchresults.html?label=bristol-XLwodozx2dVe8Ts0XeYuawS752260715469%3Apl%3Ata%3Ap1%3Ap2%3Aac%3Aap%3Aneg%3Afi%3Atikwd-869815001187%3Alp1009919%3Ali%3Adec%3Adm%3Appccp%3DUmFuZG9tSVYkc2RlIyh9YXdX6HrtnYy-Ml68sH-ljtU&aid=311984&dest_id=198&dest_type=country&group_adults=2&req_adults=2&no_rooms=1&broad_search_not_eligible=1&order=score&nflt=ht_id%3D204%3Bht_id%3D213%3Bht_id%3D216%3Bht_id%3D220%3Bht_id%3D221%3Btop_destinations%3D6012%3Buf%3D-2237624%3Buf%3D-2230854","","Trinco Relax Hut","Scored 7.5","7.5","","Trinco Relax Hut in Trincomalee provides accommodations with a garden and a terrace. This guest house provides free private parking, a 24-hour front desk, and free Wifi.","· 232 reviews","Opens in new window","Trincomalee","Show prices","Good","Show on map","https://cf.bstatic.com/xdata/images/hotel/square600/212035200.webp?k=961e6c2b505f8f883bee7ca735bb3a82941a5a23bcad0af9555f60e154d12c7c&o="
"1777056365-165","https://www.booking.com/searchresults.html?label=bristol-XLwodozx2dVe8Ts0XeYuawS752260715469%3Apl%3Ata%3Ap1%3Ap2%3Aac%3Aap%3Aneg%3Afi%3Atikwd-869815001187%3Alp1009919%3Ali%3Adec%3Adm%3Appccp%3DUmFuZG9tSVYkc2RlIyh9YXdX6HrtnYy-Ml68sH-ljtU&aid=311984&dest_id=198&dest_type=country&group_adults=2&req_adults=2&no_rooms=1&broad_search_not_eligible=1&order=score&nflt=ht_id%3D204%3Bht_id%3D213%3Bht_id%3D216%3Bht_id%3D220%3Bht_id%3D221%3Btop_destinations%3D6012%3Buf%3D-2237624%3Buf%3D-2230854","","Oceanfront Condominium - Nilaveli","Scored 7.4","7.4","","Located on the Northeast coast of Sri Lanka, Oceanfront Condominiums Nilaveli is the very first luxury beachfront serviced apartment development consisting of two-bedroom and three-bedroom apartments,...","· 383 reviews","Opens in new window","Nilaveli","Show prices","Good","Show on map","https://cf.bstatic.com/xdata/images/hotel/square600/199406671.webp?k=d05faf4008a76df95fa15f2fd4ce1631c832d19a8868194250d562b224d8d5c6&o="
"1777056365-166","https://www.booking.com/searchresults.html?label=bristol-XLwodozx2dVe8Ts0XeYuawS752260715469%3Apl%3Ata%3Ap1%3Ap2%3Aac%3Aap%3Aneg%3Afi%3Atikwd-869815001187%3Alp1009919%3Ali%3Adec%3Adm%3Appccp%3DUmFuZG9tSVYkc2RlIyh9YXdX6HrtnYy-Ml68sH-ljtU&aid=311984&dest_id=198&dest_type=country&group_adults=2&req_adults=2&no_rooms=1&broad_search_not_eligible=1&order=score&nflt=ht_id%3D204%3Bht_id%3D213%3Bht_id%3D216%3Bht_id%3D220%3Bht_id%3D221%3Btop_destinations%3D6012%3Buf%3D-2237624%3Buf%3D-2230854","","Hotel Sun Blue","Scored 7.4","7.4","","Offering inner courtyard views, Hotel Sun Blue in Trincomalee provides accommodations and a garden. This property offers access to a terrace, free private parking, and free Wifi.","· 136 reviews","Opens in new window","Trincomalee","Show prices","Good","Show on map","https://cf.bstatic.com/xdata/images/hotel/square600/190187836.webp?k=6c938da6aaed29de4989ff4ed4a1aaeebb03804bed49b7e1a21662fe55d80d98&o="
"1777056365-167","https://www.booking.com/searchresults.html?label=bristol-XLwodozx2dVe8Ts0XeYuawS752260715469%3Apl%3Ata%3Ap1%3Ap2%3Aac%3Aap%3Aneg%3Afi%3Atikwd-869815001187%3Alp1009919%3Ali%3Adec%3Adm%3Appccp%3DUmFuZG9tSVYkc2RlIyh9YXdX6HrtnYy-Ml68sH-ljtU&aid=311984&dest_id=198&dest_type=country&group_adults=2&req_adults=2&no_rooms=1&broad_search_not_eligible=1&order=score&nflt=ht_id%3D204%3Bht_id%3D213%3Bht_id%3D216%3Bht_id%3D220%3Bht_id%3D221%3Btop_destinations%3D6012%3Buf%3D-2237624%3Buf%3D-2230854","","Mallika Resort","Scored 7.4","7.4","","Located in Trincomalee, a 8-minute walk from Dutch Bay Beach, Mallika Resort features views of the sea. This 3-star hotel offers room service and a 24-hour front desk.","· 60 reviews","Opens in new window","Trincomalee","Show prices","Good","Show on map","https://cf.bstatic.com/xdata/images/hotel/square600/241083789.webp?k=799a9d0e51ed485396215b555ca7a8d3d44164113816705b52363f971514deca&o="
"1777056365-168","https://www.booking.com/searchresults.html?label=bristol-XLwodozx2dVe8Ts0XeYuawS752260715469%3Apl%3Ata%3Ap1%3Ap2%3Aac%3Aap%3Aneg%3Afi%3Atikwd-869815001187%3Alp1009919%3Ali%3Adec%3Adm%3Appccp%3DUmFuZG9tSVYkc2RlIyh9YXdX6HrtnYy-Ml68sH-ljtU&aid=311984&dest_id=198&dest_type=country&group_adults=2&req_adults=2&no_rooms=1&broad_search_not_eligible=1&order=score&nflt=ht_id%3D204%3Bht_id%3D213%3Bht_id%3D216%3Bht_id%3D220%3Bht_id%3D221%3Btop_destinations%3D6012%3Buf%3D-2237624%3Buf%3D-2230854","","Hotel Angel Inn Beach","Scored 7.4","7.4","","Located in Trincomalee, a few steps from Uppuveli beach, Hotel Angel Inn Beach has accommodations with a garden, free private parking, a private beach area and a shared lounge.","· 31 reviews","Opens in new window","Trincomalee","Show prices","Good","Show on map","https://cf.bstatic.com/xdata/images/hotel/square600/93087301.webp?k=0ff47243163962aec06725531475c2fc4a79d128a12c405c963678d010eac2b0&o="
"1777056365-169","https://www.booking.com/searchresults.html?label=bristol-XLwodozx2dVe8Ts0XeYuawS752260715469%3Apl%3Ata%3Ap1%3Ap2%3Aac%3Aap%3Aneg%3Afi%3Atikwd-869815001187%3Alp1009919%3Ali%3Adec%3Adm%3Appccp%3DUmFuZG9tSVYkc2RlIyh9YXdX6HrtnYy-Ml68sH-ljtU&aid=311984&dest_id=198&dest_type=country&group_adults=2&req_adults=2&no_rooms=1&broad_search_not_eligible=1&order=score&nflt=ht_id%3D204%3Bht_id%3D213%3Bht_id%3D216%3Bht_id%3D220%3Bht_id%3D221%3Btop_destinations%3D6012%3Buf%3D-2237624%3Buf%3D-2230854","","Nilaveli Ayurveda Center","Scored 7.4","7.4","","Located in Nilaveli, a 17-minute walk from Nilaveli Beach, Nilaveli Ayurveda Center provides accommodations with free bikes, free private parking, an outdoor swimming pool and a garden.","· 5 reviews","Opens in new window","Nilaveli","Show prices","Good","Show on map","https://cf.bstatic.com/xdata/images/hotel/square600/265219938.webp?k=4752d3a2a33ecbae89063d985887d00159be4fb5db1ecefee9a5506ef504dc42&o="
"1777056365-170","https://www.booking.com/searchresults.html?label=bristol-XLwodozx2dVe8Ts0XeYuawS752260715469%3Apl%3Ata%3Ap1%3Ap2%3Aac%3Aap%3Aneg%3Afi%3Atikwd-869815001187%3Alp1009919%3Ali%3Adec%3Adm%3Appccp%3DUmFuZG9tSVYkc2RlIyh9YXdX6HrtnYy-Ml68sH-ljtU&aid=311984&dest_id=198&dest_type=country&group_adults=2&req_adults=2&no_rooms=1&broad_search_not_eligible=1&order=score&nflt=ht_id%3D204%3Bht_id%3D213%3Bht_id%3D216%3Bht_id%3D220%3Bht_id%3D221%3Btop_destinations%3D6012%3Buf%3D-2237624%3Buf%3D-2230854","","JKAB Beach Resort","Scored 7.2","7.2","","Located in Trincomalee, a few steps from Uppuveli beach, JKAB Beach Resort has accommodations with an outdoor swimming pool, free private parking, a garden and a shared lounge.","· 290 reviews","Opens in new window","Trincomalee","Show prices","Good","Show on map","https://cf.bstatic.com/xdata/images/hotel/square600/266175266.webp?k=50601b20d02866d26407c435acf8fb7f3f521cd34ab4f284b6ad739a448ee504&o="
