Destination ,Latitude,Longitude,Rating,Short Descriptin,Image
Nil Diya Pokuna,6.8333847,81.0660805,4.3,Caverns & Caves,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/2a/9f/41/a3/caption.jpg?w=1000&h=800&s=1
Angurukaramulla Temple,7.2097319,79.8536661,4.1,Points of Interest & Landmarks,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/16/31/89/3b/angurukaramulla-temple.jpg?w=1000&h=800&s=1
Buduruwagala Temple,6.6847486,81.079522,4.6,Ancient Ruins • Religious Sites,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/27/a6/80/98/caption.jpg?w=1000&h=800&s=1
Kalametiya Bird Watching & Ecotourism,6.0824603,80.9293944,4.9,Nature & Wildlife Areas,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/2b/96/9b/54/kalametiya-bird-watching.jpg?w=1000&h=800&s=1
Ridee Viharaya (silver Temple),7.5363322,80.4914393,4.8,Historic Sites • Mountains,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/2e/07/d0/9c/as-per-the-folklore-by.jpg?w=1000&h=-1&s=1
Shri Bhakta Hanuman Temple,7.0741441,80.6803707,4.4,Religious Sites,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/16/39/77/3c/view-from-the-top.jpg?w=500&h=400&s=1
Colombo Fort,6.9360701,79.8450497,3.9,Historic Sites • Historic Walking Areas,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/10/db/ef/4d/caption.jpg?w=1000&h=800&s=1
Jaffna Fort,9.6620307,80.0084252,3.8,Historic Sites,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/22/d0/bb/5d/jaffna-fort.jpg?w=1000&h=800&s=1
Fort Frederick,17.7152523,-64.8829241,3.8,Points of Interest & Landmarks,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/18/88/e4/74/photo0jpg.jpg?w=1000&h=800&s=1
Colombo Fort Railway Station,6.9337011,79.8500302,3.3,Points of Interest & Landmarks,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/19/87/c4/12/the-most-beautiful-train.jpg?w=800&h=600&s=1
Guruge Nature Park,7.0671757,79.9013683,3.3,Amusement & Theme Parks,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/19/16/14/92/mayan-water-park.jpg?w=1000&h=800&s=1
Kandy War Cemetery,7.2817749,80.6083524,4.5,Cemeteries,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/05/33/19/ec/commonwealth-war-cemetery.jpg?w=1000&h=800&s=1
Casuarina Beach,9.7622197,79.8850917,3.7,Beaches,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/20/d4/4f/cd/caption.jpg?w=1000&h=800&s=1
Kinellan Tea Factory,6.877977,81.0409763,4.2,Points of Interest & Landmarks,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/27/73/f1/cc/caption.jpg?w=1000&h=800&s=1
Dutch Hospital Shopping Precinct,6.9335201,79.8435129,4.1,Points of Interest & Landmarks • Scenic Walking Areas,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/0b/75/c4/ea/photo0jpg.jpg?w=1000&h=-1&s=1
Dunhinda Falls,7.0255635,81.0575061,4.5,Waterfalls,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/11/fa/93/23/20180206-194842-largejpg.jpg?w=800&h=600&s=1
Visit Kanneliya Rain Forest,6.2589142,80.3593077,4.1,Forests,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/0e/67/f1/a6/anagimala-water-fall.jpg?w=1000&h=800&s=1
Sooriya Weaving,6.044776,80.2577934,5,Speciality & Gift Shops • Factory Outlets,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/18/c4/7b/e8/factory-entrance.jpg?w=1000&h=-1&s=1
World's End,42.2584408,-70.8739882,4.2,Geologic Formations,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/11/20/0d/0e/photo0jpg.jpg?w=1000&h=-1&s=1
Secret Beach,22.2236885,-159.411176,3.2,Beaches,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/15/29/7d/dd/pano-20181021-141358.jpg?w=800&h=600&s=1
Snake Farm Thelijjawila,6.039115,80.4838641,4.5,Zoos,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/16/ae/b1/9d/20190228-191437-largejpg.jpg?w=800&h=600&s=1
Kande Viharaya Temple,6.4492963,80.0007962,4.5,Religious Sites,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/12/48/42/fc/caption.jpg?w=1000&h=-1&s=1
Arcade Independence Square,6.9027394,79.8688116,4,Shopping Malls,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/07/31/09/38/view-from-entrance.jpg?w=1000&h=800&s=1
St. Mary's Church,25.2404649,55.317637,4.1,Churches & Cathedrals,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/08/28/7f/ab/the-church.jpg?w=1000&h=800&s=1
Kalutara Beach,6.6098466,79.9474179,3.7,Beaches,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/16/61/8a/2c/photo2jpg.jpg?w=1000&h=-1&s=1
Sri Ponnambalam Vanesar Kovil,,,4.6,Religious Sites,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/05/5c/96/f8/sri-ponnambalam-vanesar.jpg?w=400&h=300&s=1
Pasikudah Beach,7.9299939,81.5611852,4.4,Beaches,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/19/cb/d8/d8/pasikudah-beach-you-would.jpg?w=1000&h=800&s=1
Wewurukannala Vihara,,,3.8,Religious Sites,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/03/aa/6a/46/wewurukannala-vihara.jpg?w=1000&h=-1&s=1
Sri Muthumari Amman Kovil,7.4773527,80.6238656,4.2,Religious Sites,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/14/95/4b/d7/sri-muthumariamman-temple.jpg?w=1000&h=-1&s=1
St Anthony's Shrine,6.9468082,79.8563495,4.4,Churches & Cathedrals,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/06/04/25/0e/magnificent.jpg?w=900&h=700&s=1
Parrot Rock,5.9414224,80.4622485,4.3,Lookouts,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/19/5f/29/16/marvellous-beach-in-mirissa.jpg?w=1000&h=800&s=1
Koggala Lake,6.000704,80.3352364,3.6,Bodies of Water,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/0d/05/6b/7c/koggala-lake.jpg?w=1000&h=-1&s=1
Martin Wickramasinghe Folk Museum Complex,5.989937,80.328019,4.5,Speciality Museums,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1d/8f/ab/50/martin-wickramasinghe.jpg?w=1000&h=-1&s=1
St Benedict's Monastery - Adisham,6.772305,80.9311009,3.8,Religious Sites,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/0d/45/38/7e/photo0jpg.jpg?w=1000&h=-1&s=1
Negombo Lagoon,7.1580045,79.8464804,4.1,Bodies of Water,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1c/91/09/dd/weekend-ride.jpg?w=1000&h=800&s=1
Uppuveli Beach,8.6079558,81.2200129,4,Beaches,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/2d/6b/a2/09/uppuweli-beach.jpg?w=1000&h=800&s=1
The Ella Odyssey Train,6.8725973,81.049964,4.4,Scenic Railroads,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/23/2e/d7/8d/ella-odyssey-train.jpg?w=1000&h=800&s=1
Bambarakanda Falls,6.7733517,80.8312138,4.5,Waterfalls,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/07/6f/4c/f1/bambarakanda-falls.jpg?w=1000&h=800&s=1
Kanniya Hot Springs,8.6044979,81.1713376,3.4,Hot Springs & Geysers,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/15/04/16/d7/kanniya-hot-springs.jpg?w=1000&h=800&s=1
Ranweli Spice Garden,7.5854305,80.6254678,3.2,Gardens,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/11/fc/f9/04/img-20180206-155421-largejpg.jpg?w=1000&h=-1&s=1
Vogue Jewellers (pvt) Ltd,6.9027653,79.8523114,5,Speciality & Gift Shops,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/11/59/fa/ec/vogue-jewellers-building.jpg?w=800&h=-1&s=1
Water World Lanka,6.9441709,79.9423889,4,Aquariums,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/16/0e/45/e6/20190105-102948-largejpg.jpg?w=1000&h=-1&s=1
Dambatenne Tea Factory,6.7833795,81.0034028,3.3,Farms,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/2b/4a/87/32/caption.jpg?w=1000&h=800&s=1
Pallekele International Cricket Stadium,7.2806593,80.7224512,4.4,Arenas & Stadiums,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/04/48/7a/e0/nice-ground.jpg?w=1000&h=-1&s=1
Silent Beach,6.0058802,80.7770569,4.2,Beaches,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/13/48/70/64/cartoline-da-tangalle.jpg?w=1000&h=800&s=1
Rumasalla Mountain,6.0212396,80.2418899,4.4,Mountains,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/12/c3/51/c7/japanese-peace-pagoda.jpg?w=1000&h=800&s=1
Tsunami Photo Museum,6.1687817,80.0878867,4.8,Art Galleries,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/16/1a/b4/c7/photo0jpg.jpg?w=1000&h=800&s=1
Sithulpawwa Rock Temple,6.3884956,81.4512448,4.5,Points of Interest & Landmarks • Religious Sites,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/16/99/bd/6b/view-from-top.jpg?w=1000&h=800&s=1
Beruwala Beach,6.4888943,79.9826368,4.2,Beaches,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/2e/cb/8b/a9/sunsets-like-these-make.jpg?w=1000&h=-1&s=1
Weherahena Buddhist Temple,,,4.4,Religious Sites,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/2e/9b/df/40/caption.jpg?w=1000&h=-1&s=1
Seema Malakaya Temple,6.9168768,79.8545456,4.1,Religious Sites,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/10/02/6f/68/scenic-surrounding.jpg?w=1000&h=-1&s=1
Single Tree Hill,6.9402412,80.7595417,4.3,Mountains • Geologic Formations,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1b/16/b8/20/single-tree-hill.jpg?w=1000&h=-1&s=1
Wasgamuwa National Park,7.7532419,80.9207737,4.3,National Parks,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/10/48/29/f1/wild-elephants.jpg?w=1000&h=800&s=1
Sri Lanka Personal Tour Drivers,6.934154,79.8655322,5,Taxis & Shuttles,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/2a/d3/2c/7f/nine-arch-bridge.jpg?w=1000&h=800&s=1
Ella Train Journey,7.3016477,80.6358604,4,Scenic Railroads,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/18/5e/9a/35/the-train-trip-from-ella.jpg?w=1000&h=800&s=1
Kalutara Bodhiya,6.5872125,79.9595469,4.4,Points of Interest & Landmarks • Religious Sites,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/09/f7/44/f8/kalutara-bodhiya.jpg?w=400&h=300&s=1
Gal Oya National Park,7.2285076,81.4718387,4.4,National Parks,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/04/97/01/56/gal-oya-national-park.jpg?w=1000&h=800&s=1
Dondra Head Lighthouse,5.9212559,80.594075,4.3,Points of Interest & Landmarks • Lighthouses,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/21/e6/c3/91/dondra-light-house-sri.jpg?w=800&h=600&s=1
Honey Bee Garden,41.7349305,-87.992322,5,Gardens • Cooking Classes,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/2c/d3/57/13/caption.jpg?w=1000&h=-1&s=1
Tangalle Lagoon,6.0376538,80.8061747,4.4,Bodies of Water,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/11/33/82/fc/kayak.jpg?w=1000&h=800&s=1
National Spice Garden of Sri Lanka,7.4529882,80.6410112,4.8,Gardens,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/2b/01/1c/9c/view-from-top.jpg?w=1000&h=-1&s=1
Ariyapala Mask Museum,6.241823,80.0503797,3.9,Speciality Museums,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/0e/20/40/77/photo2jpg.jpg?w=1000&h=-1&s=1
Sigiriya Museum,7.9580986,80.7444853,3.7,Speciality Museums,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/18/60/7e/25/sigireya.jpg?w=800&h=600&s=1
Kumana National Park,6.5729598,81.6692532,4.5,National Parks,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/0d/51/3a/2e/birds-at-kumana.jpg?w=1000&h=800&s=1
Narigama Beach,6.1219454,80.1119747,4.5,Beaches,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/10/b0/cd/00/caption.jpg?w=1000&h=800&s=1
Kamal Safari Bundala Park,31.5309038,74.9807852,4.7,National Parks,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/27/ad/52/ec/bundala-national-park.jpg?w=1000&h=800&s=1
Yapahuwa Rock Fortress,7.8158253,80.3114366,4.6,Historic Sites,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/2d/6f/1f/3e/caption.jpg?w=300&h=200&s=1
Yatagala Raja Maha Viharaya,6.0252714,80.2611405,4.3,Religious Sites,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/10/91/6c/74/yatagala-raja-maha-viharaya.jpg?w=1000&h=800&s=1
Yala National Park,6.4639613,81.4718847,3.6,National Parks,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/2c/36/fb/cb/yala-national-park-located.jpg?w=900&h=700&s=1
Habarana Cultural Centre,8.0034754,80.7349339,4.9,Civic Centres,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/28/17/bb/d1/folk-dance.jpg?w=1000&h=800&s=1
Leisure World Water Park,6.9215143,80.1050483,3.2,Water Parks,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/07/5f/03/b4/leisure-world-water-park.jpg?w=1000&h=800&s=1
Ravana's Cave,6.8644786,81.0486417,3.2,Caverns & Caves,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/19/3a/3c/a3/img-20190913-wa0038-largejpg.jpg?w=1000&h=800&s=1
Aluvihara Rock Cave Temple,7.4977256,80.6217839,4.3,Caverns & Caves • Religious Sites,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1b/6d/40/e8/caption.jpg?w=500&h=400&s=1
Ahungalla Beach,6.3086872,80.0323591,4.4,Beaches,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/2f/9b/2b/de/activities-for-you-for.jpg?w=1000&h=800&s=1
Turtle Conservation Project Turtle Watch,,,3.2,Nature & Wildlife Areas,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/5e/dc/2e/photo8jpg.jpg?w=1000&h=-1&s=1
Ella Organic Tea Garden,6.8571393,81.033769,4.9,Farms,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/2c/b5/e9/4e/ella-organic-tea-garden.jpg?w=1000&h=800&s=1
Kudumbigala Monastery,6.6721244,81.743149,4.7,Religious Sites,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/10/a5/e6/b2/kudumbigala-monastery.jpg?w=1000&h=-1&s=1
Spa Secret - Ayurveda & Spa,7.2373424,79.8429422,4.9,Spas,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/21/5b/06/3e/spa-suite-the-ideal-spa.jpg?w=1000&h=800&s=1
Thudugala Ella waterfall,6.5711153,80.0608753,4.4,Waterfalls,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/45/b7/97/thudugala-ella.jpg?w=1000&h=800&s=1
Royal Palace of Kandy,7.2947862,80.6410831,4.1,Points of Interest & Landmarks • Castles,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/09/e2/01/10/royal-palace-of-kandy.jpg?w=1000&h=800&s=1
Castlereagh Reservoir,6.8577186,80.5855038,4.6,Bodies of Water,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/14/e1/bd/55/great-views-on-both-sides.jpg?w=1000&h=-1&s=1
Nalanda Gedige,7.6697486,80.645856,4.4,Religious Sites,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/07/d6/26/1e/nalanda-gedige.jpg?w=1000&h=-1&s=1
St Clair's Falls,6.947354,80.6456713,4.2,Waterfalls,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/0b/f0/b0/27/st-clair-s-falls.jpg?w=1000&h=800&s=1
Devil's Staircase,56.6666667,-5.0333333,4.9,Waterfalls,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/16/ef/3d/d9/nothing-but-mountains.jpg?w=1000&h=800&s=1
Cotton Collection,,,4,Department Stores,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/2d/9a/4f/b9/cotton-collection-143.jpg?w=1000&h=800&s=1
Kalametiya Eco Bird Watching,6.0992132,80.9225986,5,Nature & Wildlife Areas,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/16/f3/f1/bc/img-20190327-105329-largejpg.jpg?w=1000&h=-1&s=1
Turtle Watch Rekawa,6.0462976,80.8557075,3.8,Beaches • Nature & Wildlife Areas,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/25/ae/c0/39/sleep.jpg?w=1000&h=800&s=1
Shrine of Our Lady of Madhu,8.854883,80.2029265,4.3,Points of Interest & Landmarks,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/04/89/92/66/shrine-of-our-lady-of.jpg?w=700&h=500&s=1
Galle International Cricket Stadium,6.0315438,80.2160415,4.4,Arenas & Stadiums,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/37/1a/0d/galle-international-stadium.jpg?w=1000&h=800&s=1
Hummanaya Blow Hole,5.977563,80.7387028,3.3,Geologic Formations,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/0c/5e/0d/88/blow-hole.jpg?w=1000&h=800&s=1
Glenloch Tea Factory,7.0771474,80.675667,3.8,Farms,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/07/c6/35/0f/glenloch-tea-factory.jpg?w=1000&h=800&s=1
Bentota Ayurveda Center,6.4224068,79.9984748,4.8,Spas,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/2d/d4/e3/7f/ajurveda.jpg?w=1000&h=-1&s=1
Kushta Raja Gala,5.9694531,80.4200249,4.2,Historic Sites • Monuments & Statues,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/2b/a8/17/23/caption.jpg?w=1000&h=800&s=1
Jaffna Market,9.667351,80.0098731,4,Flea & Street Markets,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/06/8f/22/18/jaffna-market.jpg?w=600&h=-1&s=1
Liberty Plaza,6.9118996,79.8513087,3.3,Shopping Malls,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/17/19/b5/f0/liberty-plaza.jpg?w=1000&h=-1&s=1
Somawathiya Chaitya,8.1692559,81.2078164,4.5,Points of Interest & Landmarks • Religious Sites,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/0c/4a/11/ab/a-view-of-somawathie.jpg?w=1000&h=-1&s=1
Keerimalai Hot springs,9.8134441,80.0121161,3.6,Points of Interest & Landmarks,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/18/55/d6/f7/keeramalai-pond.jpg?w=1000&h=800&s=1
Trincomalee Beach,8.5733464,81.2392774,4.1,Beaches,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/2d/7e/a1/1b/dutch-bay-beach.jpg?w=1000&h=800&s=1
Pitawala Pathana,7.5493687,80.754265,4.7,Nature & Wildlife Areas,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1b/6f/fd/bd/pitawala-pathana-add.jpg?w=800&h=600&s=1
National Zoological Gardens of Sri Lanka,6.8567363,79.8743673,3.1,Zoos • Castles,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/96/e2/cd/photo0jpg.jpg?w=1000&h=800&s=1
Maritime Archeology Museum,6.0280065,80.2178191,3.5,Speciality Museums • Natural History Museums,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/12/be/91/39/interior.jpg?w=1000&h=-1&s=1
Lankatilaka Temple,7.9628144,81.0036406,4.4,Points of Interest & Landmarks,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/19/83/7e/6a/very-old-temple-around.jpg?w=1000&h=800&s=1
Arisimale Beach,8.9366228,81.0072642,4.5,Beaches,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/16/e1/30/75/beautiful-arisimale-beach.jpg?w=1000&h=-1&s=1
Chariot Path Kandy,7.2905715,80.6337262,5,Hiking Trails,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/12/be/b3/32/chariot-path.jpg?w=1000&h=800&s=1
Blue Field Tea Factory,7.0428794,80.697879,4.7,Factory Outlets,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/4d/97/81/okolice.jpg?w=1000&h=800&s=1
The Factory Outlet,,,3.7,Factory Outlets,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1b/04/e0/5d/accessories.jpg?w=1000&h=-1&s=1
Secret Root Spa,5.9447856,80.4638705,4.7,Spas,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f8/6d/c5/photo3jpg.jpg?w=1000&h=-1&s=1
Ashok Vatika,28.6843303,76.9907667,4.6,Religious Sites,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/2e/7a/40/e8/caption.jpg?w=1000&h=800&s=1
Waruna Antiques,7.2790325,80.617822,4.7,Antique Shops,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/06/5a/38/fb/waruna-antiques.jpg?w=900&h=700&s=1
Dehiwala Zoo - Sri Lanka,6.8567363,79.8743673,3.8,Zoos • Aquariums,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/15/64/f6/a3/parrots-of-garden.jpg?w=500&h=400&s=1
Matara Paravi Duwa Temple,5.9425057,80.5493623,3.9,Religious Sites,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/07/fc/35/0b/parey-dewa.jpg?w=1000&h=-1&s=1
Kabalana Beach,5.9769631,80.3514787,4.5,Beaches,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/16/8b/c9/39/great-beach-for-a-walk.jpg?w=700&h=-1&s=1
Galbokka Sea Turtle Hatchery,6.3231435,80.0309811,4.9,Nature & Wildlife Areas,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/ed/ff/15/galbokka-sea-turtle-hatchery.jpg?w=900&h=700&s=1
Abayagiriya Stupa,8.3709033,80.3952648,4.3,Points of Interest & Landmarks,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/16/ea/68/48/jethawanaramaya-stupa.jpg?w=1000&h=-1&s=1
Number 11,,,4.4,Speciality Museums • Points of Interest & Landmarks,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/0d/cf/c9/aa/this-is-what-you-see.jpg?w=1000&h=800&s=1
Dambulla Dedicated Economic Centre,7.866005,80.6517671,4.5,Farmers Markets,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/16/df/cf/63/l-entree-du-marche.jpg?w=1000&h=800&s=1
Sea Turtle Hatchery,26.1421394,-97.1692624,4.1,Nature & Wildlife Areas,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/2b/68/23/6f/caption.jpg?w=1000&h=800&s=1
Sri Maha Boodhi Temple,8.3446448,80.3972292,4.3,Religious Sites,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/0f/45/f5/d2/sri-maha-boodhi-temple.jpg?w=1000&h=-1&s=1
Ceylon Kingsmen Garden,7.2253201,79.8964036,4.7,Gardens,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/2a/50/8a/ee/caption.jpg?w=1000&h=-1&s=1
Aberdeen Falls,6.9491486,80.5015144,4.9,Waterfalls,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/14/c2/e7/d8/the-falls.jpg?w=1000&h=-1&s=1
Nagadipa Purana Vihara,9.6127237,79.7741124,4.3,Religious Sites,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/0a/d9/4c/aa/hindu-temple.jpg?w=1000&h=800&s=1
Sri Baktha Hanuman Temple,42.4520994,-83.3499623,4.6,Points of Interest & Landmarks • Architectural Buildings,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/05/64/5d/00/sri-baktha-hanuman-temple.jpg?w=1000&h=-1&s=1
KOSGODA Turtle Conservation and Research Centre,6.3494134,80.0210888,3.9,Nature & Wildlife Areas,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/16/90/33/8f/turtle-beach.jpg?w=1000&h=-1&s=1
Ranmasu Uyana,8.3384222,80.3898477,4.5,Ancient Ruins,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/09/47/9e/01/ranmasu-uyana.jpg?w=1000&h=800&s=1
Sera Ella falls,7.5881937,80.7555115,4.6,Waterfalls,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/0a/13/17/b9/sera-ella-falls.jpg?w=1000&h=800&s=1
Kalamatiya Bird Sanctuary,6.079524,80.9298935,4.7,Nature & Wildlife Areas,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/07/25/f9/cf/kalamatiya-bird-sanctuary.jpg?w=1000&h=800&s=1
Ashram Sri Lanka,7.873054,80.771797,5,Nature & Wildlife Areas • Gardens,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/0e/c9/ce/70/name-broad.jpg?w=1000&h=800&s=1
Vistas Rooftop Bar,,,4.8,Bars & Clubs,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/32/99/1c/d6/relax-unwind-and-soak.jpg?w=1000&h=800&s=1
Turtle Point Batigama,5.9593045,80.6826008,4.8,Beaches,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/2a/e1/f7/f1/turtle-point-bathigama.jpg?w=1000&h=-1&s=1
Post Office Nuwara Eliya,6.9716016,80.7663298,4.2,Government Buildings,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/77/5a/1b/post-office-nuwara-eliya.jpg?w=1000&h=800&s=1
Dutch Reformed Church,-32.2971552,27.1487094,4.1,Churches & Cathedrals,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/11/18/64/b0/photo0jpg.jpg?w=1000&h=-1&s=1
Kandy Cooking Class by AGS,7.2643058,80.6118814,5,Cooking Classes,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/19/0d/69/a9/img-20190830-wa0030-largejpg.jpg?w=1000&h=800&s=1
Kandy Garrison Cemetery,7.292928,80.642921,4.5,Cemeteries,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/0e/47/99/e3/kandy-graveyard.jpg?w=1000&h=800&s=1
Nandana Tea Factory,6.0890939,80.4786432,5,Farms,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/2b/13/f6/80/caption.jpg?w=900&h=700&s=1
Narangala,7.0289626,80.9967764,4.9,Mountains,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/94/e3/a9/narangala-camping-a-small.jpg?w=1000&h=-1&s=1
Trincomalee War Cemetery,8.6153701,81.2136371,4.6,Cemeteries,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/04/94/c7/04/trincomalee-war-cemetery.jpg?w=700&h=500&s=1
Devon Falls,6.9514077,80.6300174,4.2,Waterfalls,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/0d/1d/84/58/waterfall.jpg?w=1000&h=800&s=1
